cod_pais,nom_pais,año,producto,unidad_id,nom_uni,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1960,grano de sorgo,t,tonelada,2959.0,2939.0,5661.0,4257.0,2777.0,375.0,449.0,3743.0,4423.0,3326.0,3612.0,3433.0
32,Argentina,1961,grano de sorgo,t,tonelada,2667.0,24.0,4369.0,485.0,7343.0,7095.0,8018.0,9512.0,9464.0,7054.0,8446.0,8831.0
32,Argentina,1962,grano de sorgo,t,tonelada,5885.0,816.0,9378.0,10073.0,10211.0,10135.0,9895.0,10952.0,9227.0,7513.0,9715.0,7092.0
32,Argentina,1963,grano de sorgo,t,tonelada,487.0,2831.0,5026.0,5918.0,6773.0,7544.0,8372.0,7615.0,646.0,7311.0,7536.0,6551.0
32,Argentina,1964,grano de sorgo,t,tonelada,6697.0,52.0,6468.0,7468.0,7476.0,7075.0,7361.0,811.0,8847.0,8018.0,7993.0,9067.0
32,Argentina,1965,grano de sorgo,t,tonelada,10238.0,9418.0,10088.0,11078.0,12003.0,13869.0,13378.0,13252.0,13698.0,1345.0,10108.0,8257.0
32,Argentina,1966,grano de sorgo,t,tonelada,5203.0,4741.0,8528.0,11108.0,12318.0,11906.0,11919.0,14893.0,16247.0,14838.0,14923.0,13089.0
32,Argentina,1967,grano de sorgo,t,tonelada,11747.0,10364.0,7067.0,10225.0,11057.0,11243.0,12096.0,11225.0,9873.0,8672.0,13357.0,12526.0
32,Argentina,1968,grano de sorgo,t,tonelada,9764.0,1161.0,1271.0,11942.0,11786.0,12203.0,14036.0,14504.0,1426.0,15863.0,15187.0,12251.0
32,Argentina,1969,grano de sorgo,t,tonelada,14182.0,10053.0,11239.0,14635.0,13735.0,14264.0,16372.0,15299.0,17211.0,16878.0,14775.0,12339.0
32,Argentina,1970,grano de sorgo,t,tonelada,9081.0,106.0,13558.0,15933.0,15774.0,16896.0,18796.0,19129.0,19097.0,19498.0,18647.0,20911.0
32,Argentina,1971,grano de sorgo,t,tonelada,1945.0,16791.0,15892.0,1784.0,17821.0,19162.0,19075.0,17838.0,17796.0,20953.0,20033.0,18245.0
32,Argentina,1972,grano de sorgo,t,tonelada,15132.0,15747.0,17898.0,1849.0,22672.0,25235.0,26814.0,24465.0,24587.0,27262.0,26539.0,2361.0
32,Argentina,1973,grano de sorgo,t,tonelada,21816.0,22586.0,22903.0,24754.0,26733.0,24443.0,3198.0,37831.0,29646.0,23364.0,18622.0,17541.0
32,Argentina,1974,grano de sorgo,t,tonelada,19639.0,1441.0,12944.0,17111.0,22084.0,22232.0,23591.0,23439.0,17554.0,1479.0,14249.0,10523.0
32,Argentina,1975,grano de sorgo,t,tonelada,11504.0,23207.0,31385.0,2888.0,31167.0,39584.0,58362.0,56491.0,58804.0,57906.0,48884.0,44604.0
32,Argentina,1976,grano de sorgo,t,tonelada,34216.0,30243.0,28074.0,24343.0,24872.0,17166.0,14753.0,23387.0,2873.0,27006.0,27524.0,25758.0
32,Argentina,1977,grano de sorgo,t,tonelada,20477.0,15922.0,18201.0,23413.0,19415.0,19596.0,17199.0,14944.0,16277.0,14858.0,9636.0,11529.0
32,Argentina,1978,grano de sorgo,t,tonelada,1196.0,14715.0,13982.0,19078.0,16768.0,18423.0,19435.0,24689.0,18748.0,19096.0,2264.0,2085.0
32,Argentina,1979,grano de sorgo,t,tonelada,1829.0,14369.0,17535.0,21247.0,2481.0,27149.0,27193.0,24839.0,24053.0,22751.0,19053.0,14294.0
32,Argentina,1980,grano de sorgo,t,tonelada,14615.0,15749.0,15443.0,12913.0,13331.0,13534.0,17883.0,11326.0,10002.0,8639.0,7558.0,7248.0
32,Argentina,1981,grano de sorgo,t,tonelada,8103.0,684.0,7457.0,13461.0,16404.0,1694.0,18865.0,15105.0,17227.0,16765.0,16925.0,17264.0
32,Argentina,1982,grano de sorgo,t,tonelada,12578.0,12412.0,12137.0,15401.0,2073.0,21752.0,22154.0,19308.0,18133.0,1569.0,13741.0,6653.0
32,Argentina,1983,grano de sorgo,t,tonelada,4426.0,7496.0,11659.0,9316.0,13115.0,1381.0,1975.0,17239.0,16699.0,1642.0,14737.0,12348.0
32,Argentina,1984,grano de sorgo,t,tonelada,10215.0,978.0,12434.0,15899.0,2127.0,22147.0,22194.0,30347.0,24549.0,18061.0,15084.0,15182.0
32,Argentina,1985,grano de sorgo,t,tonelada,10854.0,13602.0,12673.0,15262.0,17886.0,17721.0,24927.0,24721.0,23143.0,23011.0,2266.0,20477.0
32,Argentina,1986,grano de sorgo,t,tonelada,17077.0,1623.0,13861.0,16751.0,20893.0,22669.0,27312.0,27898.0,28632.0,3086.0,25893.0,24548.0
32,Argentina,1987,grano de sorgo,t,tonelada,20849.0,16429.0,17008.0,14187.0,1652.0,24807.0,33399.0,22401.0,24106.0,19541.0,14432.0,13931.0
32,Argentina,1988,grano de sorgo,t,tonelada,8616.0,9748.0,12569.0,15488.0,16033.0,16901.0,1657.0,15634.0,11923.0,9.0,8197.0,7832.0
32,Argentina,1989,grano de sorgo,t,tonelada,614.0,4444.0,6354.0,7835.0,6133.0,11685.0,8551.0,7845.0,8806.0,10785.0,10807.0,7321.0
32,Argentina,1990,grano de sorgo,t,tonelada,8032.0,6091.0,56.0,5069.0,6357.0,685.0,955.0,97.0,813.0,10151.0,8202.0,6623.0
32,Argentina,1991,grano de sorgo,t,tonelada,5501.0,3499.0,3546.0,4908.0,7529.0,8236.0,9394.0,12209.0,8849.0,9004.0,9494.0,8335.0
32,Argentina,1992,grano de sorgo,t,tonelada,5403.0,5197.0,7699.0,5742.0,8933.0,9047.0,12091.0,11041.0,9272.0,8406.0,6467.0,6687.0
32,Argentina,1993,grano de sorgo,t,tonelada,6334.0,7819.0,8119.0,6315.0,7867.0,8044.0,946.0,1458.0,17889.0,1621.0,15523.0,9021.0
32,Argentina,1994,grano de sorgo,t,tonelada,6146.0,4562.0,9077.0,701.0,7099.0,5631.0,8076.0,8698.0,7726.0,7544.0,7654.0,688.0
32,Argentina,1995,grano de sorgo,t,tonelada,4792.0,5317.0,7984.0,7982.0,10306.0,13212.0,16231.0,17205.0,15673.0,11564.0,9078.0,7054.0
32,Argentina,1996,grano de sorgo,t,tonelada,4568.0,3988.0,2629.0,8336.0,11861.0,12036.0,15712.0,13153.0,12549.0,1249.0,10747.0,1073.0
32,Argentina,1997,grano de sorgo,t,tonelada,9833.0,8005.0,10769.0,14693.0,19013.0,17008.0,16372.0,17383.0,17418.0,19659.0,14422.0,14545.0
32,Argentina,1998,grano de sorgo,t,tonelada,14602.0,11818.0,12239.0,11332.0,1152.0,13555.0,13263.0,14721.0,13891.0,12873.0,857.0,9719.0
32,Argentina,1999,grano de sorgo,t,tonelada,10355.0,8785.0,8863.0,8508.0,9762.0,11589.0,13372.0,14578.0,12729.0,11961.0,10292.0,9746.0
32,Argentina,2000,grano de sorgo,t,tonelada,9216.0,7619.0,7953.0,8191.0,11315.0,13969.0,14005.0,14409.0,1175.0,10612.0,10422.0,9706.0
32,Argentina,2001,grano de sorgo,t,tonelada,707.0,7517.0,8785.0,8452.0,9394.0,10378.0,1126.0,12391.0,11324.0,11154.0,11153.0,9692.0
32,Argentina,2002,grano de sorgo,t,tonelada,6888.0,5791.0,7223.0,7729.0,10094.0,10039.0,9449.0,1007.0,6001.0,5258.0,7401.0,6575.0
32,Argentina,2003,grano de sorgo,t,tonelada,7568.0,574.0,7236.0,912.0,11594.0,11333.0,14969.0,15562.0,15567.0,14666.0,11696.0,12128.0
32,Argentina,2004,grano de sorgo,t,tonelada,8579.0,821.0,5806.0,8403.0,9911.0,13205.0,12967.0,1282.0,10233.0,10429.0,10791.0,11076.0
32,Argentina,2005,grano de sorgo,t,tonelada,9009.0,9339.0,10539.0,11595.0,13157.0,13943.0,14909.0,1424.0,14157.0,1343.0,1453.0,13337.0
32,Argentina,2006,grano de sorgo,t,tonelada,15725.0,12884.0,13826.0,13294.0,16566.0,14596.0,15203.0,17235.0,17818.0,17492.0,16606.0,15768.0
32,Argentina,2007,grano de sorgo,t,tonelada,13042.0,13785.0,15079.0,15673.0,17725.0,18536.0,24128.0,20614.0,15374.0,10746.0,9286.0,10411.0
32,Argentina,2008,grano de sorgo,t,tonelada,10001.0,8957.0,872.0,12222.0,12685.0,1225.0,15605.0,16128.0,14723.0,15667.0,11342.0,13142.0
32,Argentina,2009,grano de sorgo,t,tonelada,12929.0,12182.0,12931.0,13132.0,14197.0,1955.0,21857.0,23652.0,22024.0,20269.0,17465.0,15831.0
32,Argentina,2010,grano de sorgo,t,tonelada,17639.0,13396.0,17675.0,18353.0,18806.0,19346.0,19912.0,19694.0,28241.0,17169.0,14991.0,19694.0
32,Argentina,2011,grano de sorgo,t,tonelada,14646.0,10062.0,10569.0,11948.0,13835.0,14726.0,13491.0,1317.0,14019.0,91.0,7055.0,5599.0
32,Argentina,2012,grano de sorgo,t,tonelada,6681.0,3652.0,4986.0,3941.0,10406.0,11884.0,19473.0,18528.0,17186.0,14432.0,13991.0,11052.0
32,Argentina,2013,grano de sorgo,t,tonelada,14896.0,8941.0,10078.0,9867.0,10318.0,13319.0,14767.0,14471.0,12132.0,11006.0,11395.0,8419.0
32,Argentina,2014,grano de sorgo,t,tonelada,7206.0,6296.0,9479.0,10718.0,1378.0,16922.0,15458.0,15467.0,12912.0,11675.0,83.0,5535.0
32,Argentina,2015,grano de sorgo,t,tonelada,5769.0,4982.0,6042.0,6669.0,5584.0,512.0,5342.0,3812.0,304.0,2639.0,2762.0,2939.0
32,Argentina,2016,grano de sorgo,t,tonelada,3185.0,2958.0,2545.0,2944.0,4819.0,9466.0,1097.0,12071.0,9603.0,826.0,9982.0,4694.0
32,Argentina,2017,grano de sorgo,t,tonelada,4744.0,5418.0,5525.0,7904.0,11438.0,15641.0,15534.0,14294.0,13337.0,1464.0,921.0,8606.0
32,Argentina,2018,grano de sorgo,t,tonelada,8699.0,6765.0,7097.0,7745.0,8108.0,8294.0,9063.0,8757.0,7726.0,,,
