cod_pais,nom_pais,año,producto,unidad_id,nom_uni,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1993,grano de trigo pan,t,tonelada,8555.0,3796.0,2382.0,2305.0,2076.0,1825.0,2396.0,998.0,1023.0,930.0,3631.0,3838.0
32,Argentina,1994,grano de trigo pan,t,tonelada,6184.0,5038.0,6359.0,4061.0,2776.0,3987.0,2407.0,2583.0,3954.0,2902.0,1716.0,2461.0
32,Argentina,1995,grano de trigo pan,t,tonelada,2292.0,2026.0,7522.0,1234.0,2880.0,1742.0,1344.0,1110.0,732.0,310.0,157.0,99.0
32,Argentina,1996,grano de trigo pan,t,tonelada,189.0,81.0,129.0,2366.0,1060.0,23.0,77.0,285.0,135.0,258.0,122.0,2402.0
32,Argentina,1997,grano de trigo pan,t,tonelada,364.0,1296.0,587.0,702.0,349.0,256.0,383.0,411.0,339.0,666.0,469.0,1471.0
32,Argentina,1998,grano de trigo pan,t,tonelada,1777.0,1829.0,1644.0,1188.0,866.0,686.0,668.0,1133.0,563.0,852.0,1277.0,3898.0
32,Argentina,1999,grano de trigo pan,t,tonelada,3542.0,3132.0,1057.0,595.0,1950.0,506.0,696.0,577.0,411.0,862.0,5488.0,9324.0
32,Argentina,2000,grano de trigo pan,t,tonelada,11620.0,10102.0,12810.0,6845.0,8929.0,6752.0,6934.0,8036.0,551.0,517.0,394.0,420.0
32,Argentina,2001,grano de trigo pan,t,tonelada,1164.0,830.0,764.0,605.0,1293.0,863.0,502.0,735.0,439.0,262.0,1594.0,7321.0
32,Argentina,2002,grano de trigo pan,t,tonelada,14440.0,3945.0,2000.0,1912.0,987.0,1263.0,801.0,920.0,223.0,96.0,265.0,250.0
32,Argentina,2003,grano de trigo pan,t,tonelada,215.0,239.0,544.0,383.0,267.0,468.0,323.0,383.0,412.0,214.0,247.0,364.0
32,Argentina,2004,grano de trigo pan,t,tonelada,601.0,234.0,146.0,110.0,240.0,242.0,160.0,192.0,175.0,255.0,96.0,137.0
32,Argentina,2005,grano de trigo pan,t,tonelada,213.0,242.0,295.0,222.0,350.0,189.0,172.0,148.0,258.0,510.0,379.0,500.0
32,Argentina,2006,grano de trigo pan,t,tonelada,752.0,814.0,994.0,744.0,518.0,669.0,373.0,621.0,429.0,931.0,586.0,651.0
32,Argentina,2007,grano de trigo pan,t,tonelada,7523.0,4072.0,4286.0,1864.0,1597.0,1206.0,2033.0,1346.0,1717.0,1633.0,1761.0,1210.0
32,Argentina,2008,grano de trigo pan,t,tonelada,1298.0,1431.0,1713.0,1925.0,2054.0,1541.0,1788.0,1378.0,1720.0,1311.0,1795.0,1620.0
32,Argentina,2009,grano de trigo pan,t,tonelada,1022.0,1260.0,1824.0,2292.0,1589.0,1574.0,1593.0,1188.0,1282.0,1325.0,1210.0,2526.0
32,Argentina,2010,grano de trigo pan,t,tonelada,5022.0,3980.0,3029.0,2388.0,1889.0,2412.0,2892.0,3208.0,2973.0,3273.0,4449.0,8468.0
32,Argentina,2011,grano de trigo pan,t,tonelada,15155.0,9539.0,7065.0,5022.0,4806.0,5126.0,5261.0,6754.0,7392.0,9915.0,12147.0,13299.0
32,Argentina,2012,grano de trigo pan,t,tonelada,15997.0,13528.0,19666.0,12654.0,20015.0,14627.0,12604.0,7108.0,4168.0,3773.0,4197.0,2494.0
32,Argentina,2013,grano de trigo pan,t,tonelada,4457.0,1655.0,1127.0,1867.0,1568.0,1151.0,1007.0,1604.0,1473.0,1257.0,1301.0,917.0
32,Argentina,2014,grano de trigo pan,t,tonelada,1022.0,645.0,1039.0,1326.0,941.0,1032.0,1192.0,926.0,1461.0,1036.0,2974.0,2536.0
32,Argentina,2015,grano de trigo pan,t,tonelada,14330.0,13565.0,12045.0,11276.0,10641.0,11605.0,10024.0,7863.0,9146.0,11030.0,10972.0,9971.0
32,Argentina,2016,grano de trigo pan,t,tonelada,10709.0,12700.0,10034.0,9304.0,13547.0,12728.0,11184.0,15747.0,17995.0,20685.0,26357.0,34012.0
32,Argentina,2017,grano de trigo pan,t,tonelada,39291.0,26481.0,19283.0,14398.0,14199.0,11544.0,9500.0,9986.0,9483.0,7668.0,8043.0,7252.0
32,Argentina,2018,grano de trigo pan,t,tonelada,8678.0,11030.0,9074.0,9520.0,8233.0,6508.0,4949.0,4063.0,2758.0,,,
